file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Graphs.java,Graphs,class,3,17,1,9,0,5,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,4,4,6,0,0,5,19,11,0,0,6,2,0,2,0,55
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Bag.java,Bags.Bag,class,5,10,1,9,0,7,1,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,74,5,2,1,0,0,6,1,8,1,1,5,2,0,2,0,67
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CombSort.java,Sorts.CombSort,class,4,7,1,6,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,2,2,0,0,2,1,24,10,5,5,6,3,0,0,0,48
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ReverseString.java,ReverseString,class,1,5,1,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,1,1,0,0,2,2,8,2,2,6,1,0,0,0,44
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DoublyLinkedList.java,Link,class,3,26,1,11,0,13,1,13,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,120,3,4,8,0,1,1,8,37,1,1,14,1,0,1,0,93
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SkylineAlgorithm.java,SkylineAlgorithm,class,2,18,1,8,4,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,86,5,4,4,0,0,0,18,13,4,4,11,3,0,2,0,130
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BinaryTreeSort.java,Sorts.BinaryTreeSort,class,7,3,1,6,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,1,1,0,0,0,13,22,7,0,0,7,1,0,3,0,33
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CocktailShakerSort.java,Sorts.CocktailShakerSort,class,4,7,1,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,1,3,0,0,0,5,17,14,6,6,10,3,0,0,0,37
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinearSearch.java,Searches.LinearSearch,class,3,4,1,8,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,2,1,1,0,0,1,6,8,1,1,8,2,0,0,1,72
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SearchController.java,org.launchcode.controllers.SearchController,class,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HEncoder.java,HEncoder,class,3,13,1,15,2,4,0,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,80,3,5,2,0,0,7,6,28,4,4,16,2,0,2,0,34
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/removeDuplicateFromString.java,removeDuplicateFromString,class,1,6,1,11,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,2,1,2,0,0,3,2,5,2,2,5,2,0,0,0,48
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Heap.java,DataStructures.Heaps.Heap,interface,1,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,96
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Merge_K_SortedLinkedlist.java,Merge_K_SortedLinkedlist,class,1,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,1,1,0,0,0,0,1,6,0,0,4,2,0,1,1,30
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/countwords.java,CountWords,class,1,4,1,7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,1,0,0,4,1,2,1,1,2,0,0,0,0,29
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/IterativeTernarySearch.java,Searches.IterativeTernarySearch,class,3,6,1,10,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,3,1,3,0,2,2,13,16,10,10,14,2,0,0,1,85
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MatrixGraphs.java,AdjacencyMatrixGraph,class,2,29,1,11,53,14,1,9,5,0,0,0,0,0,5,2,0,3,0,0,2,0,3,103,13,5,0,0,2,6,28,23,7,7,12,2,0,1,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydTriangle.java,FloydTriangle,class,0,3,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,2,3,5,1,1,5,2,0,0,0,19
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/StackArray.java,StackArray,class,2,14,1,9,0,9,1,8,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,69,7,1,2,0,2,3,15,11,4,4,6,1,0,0,0,94
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CountingSort.java,Sorts.CountingSort,class,4,6,1,27,6,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,3,2,0,0,0,16,13,6,0,0,6,2,0,0,6,56
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MergeSort.java,Sorts.MergeSort,class,4,9,1,7,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,1,3,0,0,1,6,16,12,8,8,8,2,0,0,0,57
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SieveOfEratosthenes.java,SieveOfEratosthenes,class,2,8,1,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,4,2,0,0,1,14,10,5,5,6,3,0,0,0,33
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/InterpolationSearch.java,Searches.InterpolationSearch,class,2,5,1,9,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,2,1,2,0,6,2,8,13,10,10,11,1,0,0,1,65
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinearCongruentialGenerator.java,LinearCongruentialGenerator,class,1,5,1,4,4,4,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,22,1,1,0,0,1,0,6,7,3,3,6,1,0,0,0,49
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SortAlgorithm.java,Sorts.SortAlgorithm,interface,2,2,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DecimalToBinary.java,DecimalToBinary,class,1,5,1,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,2,0,0,1,4,12,14,6,6,10,1,0,0,0,31
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SaddlebackSearch.java,Searches.SaddlebackSearch,class,2,8,1,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,4,2,1,0,0,1,13,12,4,4,9,2,0,0,0,84
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/compressclient.java,compressclient,class,1,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GnomeSort.java,Sorts.GnomeSort,class,4,5,1,6,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,1,1,1,0,0,14,20,7,2,2,5,3,0,0,0,21
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AnyBaseToAnyBase.java,AnyBaseToAnyBase,class,2,18,1,13,3,3,3,3,0,0,0,0,0,0,2,2,0,0,0,0,2,0,4,74,3,5,0,1,3,12,12,22,13,13,15,3,0,0,0,80
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Abecedarian.java,Abecedarian,class,0,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,3,2,2,2,2,2,0,0,0,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Main.java,Main,class,1,6,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,1,0,0,0,8,5,5,0,0,4,2,0,0,0,18
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Factorial.java,Factorial,class,1,6,1,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,1,2,1,0,5,5,3,3,3,2,2,0,0,0,44
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KMP.java,KMP,class,2,10,1,5,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,1,4,3,0,1,3,12,16,6,6,11,2,0,0,0,16
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HexaDecimalToBinary.java,HexaDecimalToBinary,class,1,5,1,6,3,3,1,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,22,1,2,0,0,0,13,2,7,2,2,6,1,0,0,0,29
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TopKWords.java,TopKWords,class,1,3,1,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,2,0,0,0,2,2,8,1,1,6,1,0,1,1,37
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TechjobsApplication.java,org.launchcode.TechjobsApplication,class,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinimizingLateness.java,MinimizingLateness,class,1,3,1,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,0,2,0,0,1,5,8,15,8,8,9,1,0,1,0,29
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Palindrome.java,Palindrome,class,1,8,1,8,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,3,0,0,0,7,1,2,2,1,0,0,0,0,12
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PancakeSort.java,Sorts.PancakeSort,class,4,5,1,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,2,0,0,0,1,33,9,2,2,7,3,0,0,0,24
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HomeController.java,org.launchcode.controllers.HomeController,class,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,7,0,1,0,0,1,0,0,0,0,12
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LongestCommonSubsequence.java,LongestCommonSubsequence,class,2,17,1,10,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,4,5,5,0,0,9,32,17,24,24,13,3,0,0,0,20
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/JobData.java,org.launchcode.models.JobData,class,5,17,1,21,0,5,5,4,1,0,0,0,0,0,3,3,0,3,0,0,1,0,5,83,5,6,0,1,0,2,1,18,0,0,17,3,0,0,0,108
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PalindromicPrime.java,PalindromePrime,class,1,11,1,7,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,4,3,3,0,0,3,13,11,4,4,6,2,0,0,0,23
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Vigenere.java,ciphers.Vigenere,class,1,9,1,9,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,2,2,0,0,12,4,12,19,20,20,11,3,0,0,0,18
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Dijkstra.java,Others.Graph,class,3,20,1,18,0,6,1,5,1,0,0,0,0,0,4,3,0,4,0,0,4,0,0,118,2,6,3,0,0,22,10,14,1,1,10,3,0,3,0,24
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/InsertDeleteInArray.java,InsertDeleteInArray,class,1,7,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,5,9,18,5,5,9,2,0,0,0,25
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/OctalToHexadecimal.java,OctalToHexadecimal,class,1,6,1,7,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,3,2,0,0,0,5,7,15,4,4,10,1,0,0,0,30
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SortUtils.java,Sorts.SortUtils,class,2,6,1,9,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,2,1,0,0,0,0,1,3,0,0,1,1,0,0,1,58
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/OctalToBinary.java,OctalToBinary,class,1,2,1,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,27
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CRCAlgorithm.java,Others.CRCAlgorithm,class,0,31,1,15,0,9,0,9,0,0,0,0,0,0,11,0,0,11,0,0,0,0,2,116,4,10,3,0,0,0,26,26,1,1,20,4,0,0,0,125
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BinarySearch.java,Searches.BinarySearch,class,4,6,1,12,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,5,0,1,0,1,2,10,10,5,5,10,1,0,0,1,88
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CountChar.java,CountChar,class,1,6,1,8,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,1,2,0,0,4,3,4,1,1,4,2,0,0,0,32
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AES.java,ciphers.AES,class,2,33,1,28,89,14,14,14,0,0,0,0,0,0,9,9,0,9,0,0,9,0,37,358,13,14,1,1,3,30,2508,140,50,50,62,2,0,0,0,168
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RSA.java,ciphers.RSA,class,1,8,1,15,0,7,1,7,0,0,0,0,0,5,1,0,0,1,0,0,0,0,3,41,4,1,0,0,3,5,6,11,4,4,10,1,0,0,0,56
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PrimMST.java,PrimMST,class,2,14,1,4,0,4,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,60,1,5,2,0,0,3,38,23,2,2,14,2,0,0,0,21
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BellmanFord.java,BellmanFord,class,4,29,1,6,13,7,1,5,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,134,2,11,3,0,0,12,29,45,12,12,24,3,0,1,0,52
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ReverseStackUsingRecursion.java,ReverseStackUsingRecursion,class,1,8,1,9,0,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,4,43,1,3,0,0,0,2,4,5,0,0,5,1,0,0,0,20
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RomanToInteger.java,RomanToInteger,class,2,6,1,5,1,2,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,35,1,1,0,0,0,1,4,12,1,1,8,2,1,0,0,25
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/HexaDecimalToDecimal.java,Conversions.HexaDecimalToDecimal,class,1,3,1,8,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,0,0,0,3,3,9,3,3,7,1,0,0,0,21
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/crc32.java,CRC32,class,2,7,1,8,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,2,1,0,0,5,1,11,6,4,4,3,1,0,0,0,25
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BubbleSort.java,Sorts.BubbleSort,class,4,5,1,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,1,2,0,0,0,5,13,7,3,3,6,3,0,0,0,35
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AVLTree.java,AVLTree,class,2,47,1,16,71,14,1,4,10,0,0,0,0,0,1,0,0,1,0,0,0,0,1,173,11,6,14,0,0,3,6,48,2,2,13,4,0,1,0,41
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MedianOfRunningArray.java,MedianOfRunningArray,class,1,8,1,8,0,4,1,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,28,2,1,1,0,1,1,13,5,4,4,5,1,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TernarySearch.java,Searches.TernarySearch,class,3,8,1,11,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,7,0,3,0,2,2,13,10,9,9,10,1,0,0,1,97
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LongestIncreasingSubsequence.java,LongestIncreasingSubsequence,class,2,10,1,4,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,3,3,1,0,1,0,14,16,5,5,9,1,0,0,0,30
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DecimalToHexaDecimal.java,DecimalToHexaDecimal,class,2,3,1,7,1,2,2,2,0,0,0,0,0,0,4,4,0,4,0,0,4,0,2,25,1,1,0,0,0,3,6,11,3,3,10,1,0,0,0,31
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LowestBasePalindrome.java,LowestBasePalindrome,class,1,17,1,11,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,4,7,0,1,5,8,13,30,15,15,17,4,0,0,0,74
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SelectionSort.java,Sorts.SelectionSort,class,4,6,1,5,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,1,2,0,0,0,5,12,10,2,2,9,3,0,0,0,33
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AESEncryption.java,ciphers.AESEncryption,class,2,5,1,14,10,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,4,0,0,0,0,8,1,10,4,4,10,0,0,0,0,98
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TrieImp.java,TrieImp,class,2,25,1,12,9,7,3,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,16,118,6,4,4,1,0,14,8,30,5,5,19,3,0,1,0,46
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BinaryToHexadecimal.java,BinaryToHexadecimal,class,2,6,1,9,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,1,4,0,0,1,3,12,13,7,7,8,2,0,0,0,32
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LongestValidParentheses.java,LongestValidParentheses,class,3,13,1,8,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,2,2,6,0,1,1,23,14,9,9,9,4,0,0,0,38
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DecimalToAnyBase.java,DecimalToAnyBase,class,1,7,1,12,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,3,2,0,0,2,7,4,6,6,6,5,1,0,0,0,52
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KadaneAlgorithm.java,KadaneAlgorithm,class,2,7,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,2,1,0,0,0,7,13,0,0,9,2,0,0,0,41
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ReturnSubsequence.java,ReturnSubsequence,class,1,6,1,6,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,2,3,1,0,0,3,9,12,3,3,9,1,0,0,0,15
